size_bytes,last_modified,service_date,file_url
1505255,2024-05-01 04:05:48+00:00,2019-10-23,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-23-subway-on-time-performance-v1.parquet
1503144,2024-05-01 04:36:05+00:00,2019-10-24,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-24-subway-on-time-performance-v1.parquet
1461834,2024-05-01 04:37:04+00:00,2019-10-25,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-25-subway-on-time-performance-v1.parquet
976130,2024-05-01 04:06:41+00:00,2019-10-26,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-26-subway-on-time-performance-v1.parquet
850006,2024-05-01 03:49:45+00:00,2019-10-27,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-27-subway-on-time-performance-v1.parquet
1451310,2024-05-01 03:08:03+00:00,2019-10-28,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-28-subway-on-time-performance-v1.parquet
1488937,2024-05-01 04:04:49+00:00,2019-10-29,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-29-subway-on-time-performance-v1.parquet
1463008,2024-05-01 03:11:50+00:00,2019-10-30,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-30-subway-on-time-performance-v1.parquet
1432716,2024-05-01 04:42:36+00:00,2019-10-31,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-10-31-subway-on-time-performance-v1.parquet
1359618,2024-05-01 03:03:48+00:00,2019-11-01,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-01-subway-on-time-performance-v1.parquet
959876,2024-05-01 02:11:41+00:00,2019-11-02,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-02-subway-on-time-performance-v1.parquet
820015,2024-05-01 02:41:00+00:00,2019-11-03,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-03-subway-on-time-performance-v1.parquet
1485063,2024-05-01 04:01:12+00:00,2019-11-04,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-04-subway-on-time-performance-v1.parquet
1471505,2024-05-01 02:31:37+00:00,2019-11-05,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-05-subway-on-time-performance-v1.parquet
1492113,2024-05-01 02:42:09+00:00,2019-11-06,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-06-subway-on-time-performance-v1.parquet
1460388,2024-05-01 02:52:49+00:00,2019-11-07,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-07-subway-on-time-performance-v1.parquet
1427764,2024-05-01 03:15:17+00:00,2019-11-08,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-08-subway-on-time-performance-v1.parquet
1035132,2024-05-01 02:35:13+00:00,2019-11-09,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-09-subway-on-time-performance-v1.parquet
935308,2024-05-01 04:25:52+00:00,2019-11-10,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-10-subway-on-time-performance-v1.parquet
1510827,2024-05-01 02:20:53+00:00,2019-11-11,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-11-subway-on-time-performance-v1.parquet
1501284,2024-05-01 03:57:16+00:00,2019-11-12,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-12-subway-on-time-performance-v1.parquet
1463575,2024-05-01 02:53:11+00:00,2019-11-13,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-13-subway-on-time-performance-v1.parquet
1482799,2024-05-01 04:15:16+00:00,2019-11-14,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-14-subway-on-time-performance-v1.parquet
1418855,2024-05-01 03:34:17+00:00,2019-11-15,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-15-subway-on-time-performance-v1.parquet
899429,2024-05-01 04:10:29+00:00,2019-11-16,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-16-subway-on-time-performance-v1.parquet
824152,2024-05-01 03:33:38+00:00,2019-11-17,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-17-subway-on-time-performance-v1.parquet
1436729,2024-05-01 03:08:21+00:00,2019-11-18,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-18-subway-on-time-performance-v1.parquet
1482849,2024-05-01 03:39:42+00:00,2019-11-19,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-19-subway-on-time-performance-v1.parquet
1459237,2024-05-01 02:21:10+00:00,2019-11-20,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-20-subway-on-time-performance-v1.parquet
1444844,2024-05-01 03:43:54+00:00,2019-11-21,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-21-subway-on-time-performance-v1.parquet
1418475,2024-05-01 04:17:58+00:00,2019-11-22,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-22-subway-on-time-performance-v1.parquet
937313,2024-05-01 03:32:13+00:00,2019-11-23,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2019-11-23-subway-on-time-performance-v1.parquet
